product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.233547,1.05207,100,43199-0053-01,Yes,Y,2021,4
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.233547,1.05207,100,47781-0535-01,Yes,Y,2021,4
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.233547,1.05207,100,47781-0628-01,Yes,Y,2021,4
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.233547,1.05207,100,00603-2540-21,Yes,Y,2021,4
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.233547,1.05207,100,00682-1400-01,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,100,00093-0050-01,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,100,00406-0483-01,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,100,00603-2337-21,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,100,71930-0054-12,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,500,71930-0054-52,Yes,Y,2021,4
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.066528,0.12592,100,13107-0058-01,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,100,00093-0150-01,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,1000,00093-0150-10,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,100,00406-0484-01,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,30,00406-0484-03,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,1000,00406-0484-10,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,1,00406-0484-23,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,100,00406-0484-62,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,100,00603-2338-21,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,1000,00603-2338-32,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,100,65162-0033-10,Yes,Y,2021,4
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058136,0.10907,1000,65162-0033-11,Yes,Y,2021,4
