product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,100,00093-0050-01,Yes,Y,2021,12
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,100,00406-0483-01,Yes,Y,2021,12
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,100,00603-2337-21,Yes,Y,2021,12
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,100,13107-0058-01,Yes,Y,2021,12
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,100,71930-0054-12,Yes,Y,2021,12
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.059025,0.118380,500,71930-0054-52,Yes,Y,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,1,00406-0484-23,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,00093-0150-01,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,00406-0484-01,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,00406-0484-62,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,00603-2338-21,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,13107-0059-01,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,65162-0033-10,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,68084-0372-01,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,68084-0372-11,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,100,71930-0055-12,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,1000,00093-0150-10,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,1000,00406-0484-10,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,1000,00603-2338-32,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,1000,13107-0059-99,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,30,00406-0484-03,Yes,N,2021,12
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063271,0.110724,500,71930-0055-52,Yes,N,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,1,68084-0373-11,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,00093-0350-01,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,00406-0485-01,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,00603-2339-21,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,13107-0060-01,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,68084-0373-01,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,100,71930-0056-12,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,1000,00093-0350-10,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,1000,13107-0060-99,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,500,00093-0350-05,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,500,00406-0485-05,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,500,00603-2339-28,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,500,13107-0060-05,Yes,Y,2021,12
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.109654,0.211340,500,71930-0056-52,Yes,Y,2021,12
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.083826,0.146696,1,00406-0512-23,Yes,N,2021,12
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.083826,0.146696,1,50268-0644-11,Yes,N,2021,12
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.083826,0.146696,100,00406-0512-01,Yes,N,2021,12
