product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,100.000,00093-0050-01,Yes,Y,2022,2
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,100.000,00406-0483-01,Yes,Y,2022,2
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,100.000,00603-2337-21,Yes,Y,2022,2
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,100.000,13107-0058-01,Yes,Y,2022,2
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,100.000,71930-0054-12,Yes,Y,2022,2
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.065391,0.115350,500.000,71930-0054-52,Yes,Y,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,00093-0150-01,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,1000.000,00093-0150-10,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,00406-0484-01,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,30.000,00406-0484-03,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,1000.000,00406-0484-10,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,1.000,00406-0484-23,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,00406-0484-62,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,00603-2338-21,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,1000.000,00603-2338-32,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,13107-0059-01,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,1000.000,13107-0059-99,Yes,N,2022,2
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.074639,0.130618,100.000,60687-0604-01,Yes,N,2022,2
