product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.429163,0.76612,100,43199-0053-01,Yes,Y,2021,7
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.429163,0.76612,100,47781-0535-01,Yes,Y,2021,7
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.429163,0.76612,100,47781-0628-01,Yes,Y,2021,7
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.429163,0.76612,100,00603-2540-21,Yes,Y,2021,7
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.429163,0.76612,100,00682-1400-01,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,100,00093-0050-01,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,100,00406-0483-01,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,100,00603-2337-21,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,100,71930-0054-12,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,500,71930-0054-52,Yes,Y,2021,7
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.063852,0.11657,100,13107-0058-01,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,00093-0150-01,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,1000,00093-0150-10,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,00406-0484-01,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,30,00406-0484-03,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,1000,00406-0484-10,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,1,00406-0484-23,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,00406-0484-62,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,00603-2338-21,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,1000,00603-2338-32,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,65162-0033-10,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,71930-0055-12,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,500,71930-0055-52,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,13107-0059-01,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,1000,13107-0059-99,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,68084-0372-01,Yes,Y,2021,7
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.062735,0.11474,100,68084-0372-11,Yes,Y,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,00093-0350-01,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,500,00093-0350-05,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,1000,00093-0350-10,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,00406-0485-01,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,500,00406-0485-05,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,00603-2339-21,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,500,00603-2339-28,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,71930-0056-12,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,500,71930-0056-52,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,13107-0060-01,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,500,13107-0060-05,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,1000,13107-0060-99,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,100,68084-0373-01,Yes,N,2021,7
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.111111,0.194444,1,68084-0373-11,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,00406-0512-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,00406-0512-05,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,1,00406-0512-23,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,00406-0512-62,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,00603-4998-21,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,00603-4998-28,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,10702-0185-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,10702-0185-50,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,31722-0192-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,31722-0192-05,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,31722-0949-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,31722-0949-05,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,42806-0114-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,1,50268-0644-11,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,50,50268-0644-15,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,53746-0203-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,53746-0203-05,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,57664-0155-13,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,57664-0155-88,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,60951-0602-70,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,60951-0602-85,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,71930-0045-12,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,71930-0045-52,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,00904-6437-61,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,100,13107-0044-01,Yes,N,2021,7
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.084131,0.147229,500,13107-0044-05,Yes,N,2021,7
