product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,00093-0150-01,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,1000,00093-0150-10,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,00406-0484-01,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,30,00406-0484-03,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,1000,00406-0484-10,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,1,00406-0484-23,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,00406-0484-62,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,00603-2338-21,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,1000,00603-2338-32,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,65162-0033-10,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,71930-0055-12,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,500,71930-0055-52,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,13107-0059-01,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,1000,13107-0059-99,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,68084-0372-01,Yes,Y,2021,6
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.058633,0.11199,100,68084-0372-11,Yes,Y,2021,6
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.105753,0.20461,100,00093-0350-01,Yes,Y,2021,6
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.105753,0.20461,500,00093-0350-05,Yes,Y,2021,6
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.105753,0.20461,1000,00093-0350-10,Yes,Y,2021,6
