product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.316675,1.05207,100,43199-0053-01,Yes,Y,2021,5
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.316675,1.05207,100,47781-0535-01,Yes,Y,2021,5
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.316675,1.05207,100,47781-0628-01,Yes,Y,2021,5
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.316675,1.05207,100,00603-2540-21,Yes,Y,2021,5
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.316675,1.05207,100,00682-1400-01,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,100,00093-0050-01,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,100,00406-0483-01,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,100,00603-2337-21,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,100,71930-0054-12,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,500,71930-0054-52,Yes,Y,2021,5
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.06622,0.12807,100,13107-0058-01,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,00093-0150-01,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1000,00093-0150-10,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,00406-0484-01,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,30,00406-0484-03,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1000,00406-0484-10,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1,00406-0484-23,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,00406-0484-62,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,00603-2338-21,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1000,00603-2338-32,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,65162-0033-10,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1000,65162-0033-11,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,71930-0055-12,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,500,71930-0055-52,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,13107-0059-01,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,1000,13107-0059-99,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,68084-0372-01,Yes,Y,2021,5
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.061084,0.11155,100,68084-0372-11,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,00093-0350-01,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,500,00093-0350-05,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,1000,00093-0350-10,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,00406-0485-01,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,500,00406-0485-05,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,00603-2339-21,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,500,00603-2339-28,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,71930-0056-12,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,500,71930-0056-52,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,13107-0060-01,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,500,13107-0060-05,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,1000,13107-0060-99,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,100,68084-0373-01,Yes,Y,2021,5
15,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;60MG,TABLET,ORAL,TAB,0.112195,0.20969,1,68084-0373-11,Yes,Y,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,00406-0512-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,00406-0512-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,1,00406-0512-23,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,00406-0512-62,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,00603-4998-21,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,00603-4998-28,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,10702-0185-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,10702-0185-50,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,31722-0192-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,31722-0192-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,31722-0949-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,31722-0949-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,42806-0114-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,1,50268-0644-11,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,50,50268-0644-15,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,53746-0203-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,53746-0203-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,57664-0155-13,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,57664-0155-88,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,60951-0602-70,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,60951-0602-85,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,71930-0045-12,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,71930-0045-52,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,00904-6437-61,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,13107-0044-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,13107-0044-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,42858-0102-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,42858-0102-50,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,47781-0196-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,47781-0196-05,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,68084-0355-01,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,68084-0355-11,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,100,63481-0623-70,Yes,N,2021,5
27,"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",325MG;5MG,TABLET,ORAL,TAB,0.072998,0.127747,500,63481-0623-85,Yes,N,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,23155-0287-01,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,51672-4022-01,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,51991-0884-01,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,64380-0833-06,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,70756-0720-11,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,70954-0033-30,Yes,Y,2021,5
32,ACETAZOLAMIDE,125MG,TABLET,ORAL,TAB,0.177309,0.73779,100,71930-0008-12,Yes,Y,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,00527-1050-01,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,00904-6663-61,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,23155-0288-01,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,1,50268-0054-11,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,50,50268-0054-15,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,51672-4023-01,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,51991-0885-01,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,64380-0834-06,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,68084-0541-01,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,68084-0541-11,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,70756-0721-11,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,70954-0034-30,Yes,N,2021,5
33,ACETAZOLAMIDE,250MG,TABLET,ORAL,TAB,0.475659,0.832403,100,71930-0009-12,Yes,N,2021,5
35,"ACETIC ACID, GLACIAL",2%,SOLUTION/DROPS,OTIC,ML,0.73759,1.49433,15,50383-0889-15,Yes,Y,2021,5
35,"ACETIC ACID, GLACIAL",2%,SOLUTION/DROPS,OTIC,ML,0.73759,1.49433,15,52817-0816-15,Yes,Y,2021,5
35,"ACETIC ACID, GLACIAL",2%,SOLUTION/DROPS,OTIC,ML,0.73759,1.49433,15,60432-0741-16,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,00904-5789-61,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,23155-0229-01,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,500,23155-0229-05,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,60505-0042-06,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,61442-0114-01,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,500,61442-0114-05,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,68084-0107-01,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,1,68084-0107-11,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,72578-0002-01,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,500,72578-0002-05,Yes,Y,2021,5
43,ACYCLOVIR,200MG,CAPSULE,ORAL,CAP,0.053173,0.12476,100,75834-0124-01,Yes,Y,2021,5
44,ACYCLOVIR,200MG/5ML,SUSPENSION,ORAL,ML,0.092833,0.3056,473,00378-8712-73,Yes,Y,2021,5
44,ACYCLOVIR,200MG/5ML,SUSPENSION,ORAL,ML,0.092833,0.3056,473,00378-9735-73,Yes,Y,2021,5
44,ACYCLOVIR,200MG/5ML,SUSPENSION,ORAL,ML,0.092833,0.3056,473,00472-0082-16,Yes,Y,2021,5
44,ACYCLOVIR,200MG/5ML,SUSPENSION,ORAL,ML,0.092833,0.3056,473,50383-0810-16,Yes,Y,2021,5
44,ACYCLOVIR,200MG/5ML,SUSPENSION,ORAL,ML,0.092833,0.3056,473,70954-0188-10,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,00904-5790-61,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,23155-0227-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,23155-0227-05,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,31722-0777-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,31722-0777-05,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,1,50268-0061-11,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,50,50268-0061-15,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,60505-5306-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,1000,60505-5306-08,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,61442-0112-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,61442-0112-05,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,63739-0682-10,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,68084-0108-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,1,68084-0108-11,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,68382-0791-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,68382-0791-05,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,69117-0018-01,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,69117-0018-02,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,100,69452-0290-20,Yes,Y,2021,5
45,ACYCLOVIR,400MG,TABLET,ORAL,TAB,0.062719,0.12073,500,69452-0290-30,Yes,Y,2021,5
46,ACYCLOVIR,800MG,TABLET,ORAL,TAB,0.110084,0.19808,100,23155-0228-01,Yes,Y,2021,5
46,ACYCLOVIR,800MG,TABLET,ORAL,TAB,0.110084,0.19808,500,23155-0228-05,Yes,Y,2021,5
46,ACYCLOVIR,800MG,TABLET,ORAL,TAB,0.110084,0.19808,100,31722-0778-01,Yes,Y,2021,5
