product_group,ingredient,strength,dosage,route,mdr_unit_type,weighted_average_amps,aca_ful,package_size,ndc,arated,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,year,month
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.403854,0.706745,100.000,00603-2540-21,Yes,N,2021,9
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.403854,0.706745,100.000,00682-1400-01,Yes,N,2021,9
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.403854,0.706745,100.000,43199-0053-01,Yes,N,2021,9
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.403854,0.706745,100.000,47781-0535-01,Yes,N,2021,9
3,"ACETAMINOPHEN; BUTALBITAL",325MG;50MG,TABLET,ORAL,TAB,0.403854,0.706745,100.000,47781-0628-01,Yes,N,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,100.000,00093-0050-01,Yes,Y,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,100.000,00406-0483-01,Yes,Y,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,100.000,00603-2337-21,Yes,Y,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,100.000,13107-0058-01,Yes,Y,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,100.000,71930-0054-12,Yes,Y,2021,9
13,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;15MG,TABLET,ORAL,TAB,0.062513,0.129300,500.000,71930-0054-52,Yes,Y,2021,9
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063478,0.112170,100.000,00093-0150-01,Yes,Y,2021,9
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063478,0.112170,1000.000,00093-0150-10,Yes,Y,2021,9
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063478,0.112170,100.000,00406-0484-01,Yes,Y,2021,9
14,"ACETAMINOPHEN; CODEINE PHOSPHATE",300MG;30MG,TABLET,ORAL,TAB,0.063478,0.112170,30.000,00406-0484-03,Yes,Y,2021,9
